unix,date,symbol,open,high,low,close,Volume EOS,Volume USD
1599609600,2020-09-09 00:00:00,EOS/USD,2.763,2.774,2.696,2.728,193699.39,70780.3
1599523200,2020-09-08 00:00:00,EOS/USD,2.853,2.861,2.67,2.763,2023050.82,736211.9
1599436800,2020-09-07 00:00:00,EOS/USD,2.904,2.939,2.661,2.853,2431853.75,873486.3
1599350400,2020-09-06 00:00:00,EOS/USD,2.941,3.03,2.813,2.904,1932214.15,665214.2
1599264000,2020-09-05 00:00:00,EOS/USD,3.007,3.15,2.781,2.941,7485803.13,2541891.1
1599177600,2020-09-04 00:00:00,EOS/USD,2.625,3.24,2.59,3.007,5586432.83,1903716.3
1599091200,2020-09-03 00:00:00,EOS/USD,3.104,3.161,2.502,2.625,4215821.21,1468006.3
1599004800,2020-09-02 00:00:00,EOS/USD,3.474,3.5,2.895,3.104,5135367.16,1633567.6
1598918400,2020-09-01 00:00:00,EOS/USD,3.211,3.557,3.155,3.474,4035854.11,1192119.2
1598832000,2020-08-31 00:00:00,EOS/USD,3.262,3.294,3.195,3.211,1328413.68,409710.0
1598745600,2020-08-30 00:00:00,EOS/USD,3.127,3.272,3.126,3.262,2303706.21,716020.7
1598659200,2020-08-29 00:00:00,EOS/USD,3.117,3.205,3.086,3.127,1803194.65,573284.8
1598572800,2020-08-28 00:00:00,EOS/USD,2.98,3.176,2.942,3.117,1905539.9,617851.6
1598486400,2020-08-27 00:00:00,EOS/USD,3.118,3.15,2.86,2.98,2847996.22,952266.7
1598400000,2020-08-26 00:00:00,EOS/USD,3.123,3.169,3.061,3.118,1668510.39,533808.8
1598313600,2020-08-25 00:00:00,EOS/USD,3.387,3.391,2.964,3.123,3803224.57,1204109.8
1598227200,2020-08-24 00:00:00,EOS/USD,3.322,3.424,3.286,3.387,1811381.84,536360.9
1598140800,2020-08-23 00:00:00,EOS/USD,3.367,3.386,3.23,3.322,1377389.45,414427.0
1598054400,2020-08-22 00:00:00,EOS/USD,3.248,3.381,3.168,3.367,2753335.52,842559.5
1597968000,2020-08-21 00:00:00,EOS/USD,3.446,3.627,3.217,3.248,5920356.92,1721910.8
1597881600,2020-08-20 00:00:00,EOS/USD,3.35,3.461,3.35,3.446,2702123.54,792629.9
1597795200,2020-08-19 00:00:00,EOS/USD,3.587,3.629,3.218,3.35,4990605.28,1467565.8
1597708800,2020-08-18 00:00:00,EOS/USD,3.778,3.825,3.523,3.587,4911597.8,1342760.8
1597622400,2020-08-17 00:00:00,EOS/USD,3.882,3.914,3.68,3.778,7094570.32,1859047.6
