unix,date,symbol,open,high,low,close,Volume ETC,Volume USD
1599609600,2020-09-09 00:00:00,ETC/USD,5.647,5.701,5.524,5.612,116014.14,20697.25
1599523200,2020-09-08 00:00:00,ETC/USD,5.779,5.83,5.315,5.647,444405.83,79161.54
1599436800,2020-09-07 00:00:00,ETC/USD,5.911,5.972,5.21,5.779,846611.3,149500.27
1599350400,2020-09-06 00:00:00,ETC/USD,5.63,6.408,5.461,5.911,945017.0,161932.77
1599264000,2020-09-05 00:00:00,ETC/USD,6.027,6.137,5.25,5.63,1111657.93,193940.08
1599177600,2020-09-04 00:00:00,ETC/USD,5.911,6.4,5.25,6.027,1276207.35,215746.7
1599091200,2020-09-03 00:00:00,ETC/USD,6.64,6.647,5.643,5.911,1759304.89,282942.49
1599004800,2020-09-02 00:00:00,ETC/USD,6.8,6.855,6.5,6.64,1440050.62,216636.95
1598918400,2020-09-01 00:00:00,ETC/USD,6.697,7.0,6.69,6.8,1799242.07,265321.72
1598832000,2020-08-31 00:00:00,ETC/USD,6.79,6.95,6.661,6.697,1014206.57,150084.75
1598745600,2020-08-30 00:00:00,ETC/USD,6.876,7.048,6.678,6.79,1466499.97,213988.5
1598659200,2020-08-29 00:00:00,ETC/USD,6.969,7.2,6.688,6.876,1165294.78,167732.37
1598572800,2020-08-28 00:00:00,ETC/USD,6.904,7.5,6.678,6.969,5440194.84,764402.56
1598486400,2020-08-27 00:00:00,ETC/USD,6.588,7.27,6.482,6.904,5582011.59,824533.44
1598400000,2020-08-26 00:00:00,ETC/USD,6.612,6.667,6.457,6.588,1075527.09,163464.64
1598313600,2020-08-25 00:00:00,ETC/USD,6.862,6.877,6.449,6.612,2104108.54,317255.87
1598227200,2020-08-24 00:00:00,ETC/USD,6.825,6.945,6.77,6.862,1548015.36,225808.43
1598140800,2020-08-23 00:00:00,ETC/USD,6.791,6.873,6.701,6.825,1256922.72,185248.63
1598054400,2020-08-22 00:00:00,ETC/USD,6.626,7.285,6.501,6.791,4325496.1,629103.99
1597968000,2020-08-21 00:00:00,ETC/USD,6.979,7.096,6.582,6.626,3400205.08,496485.12
1597881600,2020-08-20 00:00:00,ETC/USD,6.815,7.096,6.749,6.979,5316924.63,766584.51
1597795200,2020-08-19 00:00:00,ETC/USD,7.275,7.393,6.612,6.815,5758290.49,825194.12
1597708800,2020-08-18 00:00:00,ETC/USD,7.364,7.839,7.093,7.275,8393296.54,1115762.38
1597622400,2020-08-17 00:00:00,ETC/USD,7.243,7.542,7.084,7.364,6388548.47,864526.46
1597536000,2020-08-16 00:00:00,ETC/USD,7.176,7.301,6.921,7.243,5094728.73,713792.19
1597449600,2020-08-15 00:00:00,ETC/USD,6.9,7.311,6.877,7.176,4904854.77,687317.73
1597363200,2020-08-14 00:00:00,ETC/USD,6.923,6.972,6.803,6.9,3044847.87,442401.33
1597276800,2020-08-13 00:00:00,ETC/USD,6.865,7.25,6.64,6.923,5435969.57,790972.47
1597190400,2020-08-12 00:00:00,ETC/USD,6.817,6.915,6.583,6.865,2512297.34,371865.58
1597104000,2020-08-11 00:00:00,ETC/USD,7.065,7.182,6.511,6.817,3503071.91,506838.94
1597017600,2020-08-10 00:00:00,ETC/USD,6.893,7.155,6.881,7.065,2845742.56,405286.43
1596931200,2020-08-09 00:00:00,ETC/USD,7.0,7.2,6.8,6.893,2767698.87,397121.48
1596844800,2020-08-08 00:00:00,ETC/USD,7.018,7.179,6.77,7.0,3793491.28,548653.29
1596758400,2020-08-07 00:00:00,ETC/USD,7.1,7.45,6.75,7.018,4596581.35,644062.61
1596672000,2020-08-06 00:00:00,ETC/USD,7.241,7.262,6.992,7.1,3423414.7,479823.81
1596585600,2020-08-05 00:00:00,ETC/USD,7.147,7.369,7.061,7.241,3859094.3,533910.01
1596499200,2020-08-04 00:00:00,ETC/USD,7.169,7.309,7.006,7.147,3940674.85,550021.09
1596412800,2020-08-03 00:00:00,ETC/USD,7.188,7.437,7.058,7.169,4114246.69,568278.42
1596326400,2020-08-02 00:00:00,ETC/USD,7.84,8.3,6.51,7.188,8180263.16,1121890.4
1596240000,2020-08-01 00:00:00,ETC/USD,7.409,7.97,7.318,7.84,4807011.39,625662.76
1596153600,2020-07-31 00:00:00,ETC/USD,7.356,7.604,7.259,7.409,2494412.31,336798.92
1596067200,2020-07-30 00:00:00,ETC/USD,7.266,7.483,7.014,7.356,2903141.1,402698.68
1595980800,2020-07-29 00:00:00,ETC/USD,7.228,7.55,7.15,7.266,3605937.3,490405.16
1595894400,2020-07-28 00:00:00,ETC/USD,7.129,7.41,6.825,7.228,4512328.96,626322.39
1595808000,2020-07-27 00:00:00,ETC/USD,6.639,7.368,6.639,7.129,9938460.33,1405382.52
1595721600,2020-07-26 00:00:00,ETC/USD,6.704,6.893,6.481,6.639,3205655.09,481224.92
1595635200,2020-07-25 00:00:00,ETC/USD,6.266,6.739,6.231,6.704,2421279.85,369643.26
1595548800,2020-07-24 00:00:00,ETC/USD,6.449,6.449,6.212,6.266,591777.76,93730.12
1595462400,2020-07-23 00:00:00,ETC/USD,6.362,6.5,6.273,6.449,1419963.63,222043.67
