unix,date,symbol,open,high,low,close,Volume LIN,Volume USD
1599609600,2020-09-09 00:00:00,LINK/USD,11.73,12.0,11.43,11.68,7336960.88,627301.55
1599523200,2020-09-08 00:00:00,LINK/USD,12.47,12.79,11.08,11.73,45675051.49,3849775.59
1599436800,2020-09-07 00:00:00,LINK/USD,12.81,13.16,11.13,12.47,69876673.05,5725058.94
1599350400,2020-09-06 00:00:00,LINK/USD,10.61,13.4,9.755,12.81,85293369.6,7198316.3
1599264000,2020-09-05 00:00:00,LINK/USD,12.41,12.75,9.223,10.61,102260834.67,9548725.55
1599177600,2020-09-04 00:00:00,LINK/USD,12.08,12.97,11.05,12.41,71787347.01,5883061.77
1599091200,2020-09-03 00:00:00,LINK/USD,14.78,15.0,11.03,12.08,84347799.73,6401677.67
1599004800,2020-09-02 00:00:00,LINK/USD,16.08,16.35,14.07,14.78,48729909.63,3237308.0
1598918400,2020-09-01 00:00:00,LINK/USD,15.59,16.5,15.13,16.08,46403694.19,2911704.63
1598832000,2020-08-31 00:00:00,LINK/USD,16.47,16.98,15.5,15.59,40227832.53,2460342.98
1598745600,2020-08-30 00:00:00,LINK/USD,16.37,17.74,16.31,16.47,61671183.81,3613567.59
1598659200,2020-08-29 00:00:00,LINK/USD,15.12,17.05,14.96,16.37,69258333.61,4247937.15
1598572800,2020-08-28 00:00:00,LINK/USD,14.53,15.5,14.22,15.12,34066734.66,2276994.5
1598486400,2020-08-27 00:00:00,LINK/USD,15.2,15.53,14.0,14.53,45742954.95,3094794.93
1598400000,2020-08-26 00:00:00,LINK/USD,14.14,15.69,14.06,15.2,61312857.5,4109812.58
1598313600,2020-08-25 00:00:00,LINK/USD,15.14,15.38,13.5,14.14,64049460.49,4474531.83
1598227200,2020-08-24 00:00:00,LINK/USD,15.15,15.88,14.71,15.14,39709290.38,2605611.81
1598140800,2020-08-23 00:00:00,LINK/USD,15.8,16.0,14.65,15.15,57114015.68,3750383.67
1598054400,2020-08-22 00:00:00,LINK/USD,13.83,16.36,13.65,15.8,106894557.06,6972955.49
1597968000,2020-08-21 00:00:00,LINK/USD,16.05,16.14,12.84,13.83,200316502.38,13916661.57
1597881600,2020-08-20 00:00:00,LINK/USD,16.19,16.78,15.75,16.05,63923036.5,3943889.17
1597795200,2020-08-19 00:00:00,LINK/USD,16.21,17.25,14.88,16.19,95207182.22,5859137.02
1597708800,2020-08-18 00:00:00,LINK/USD,16.85,17.73,14.64,16.21,171083081.73,10445425.9
1597622400,2020-08-17 00:00:00,LINK/USD,18.82,19.71,14.64,16.85,116682784.38,6417284.47
1597536000,2020-08-16 00:00:00,LINK/USD,19.22,20.0,18.51,18.82,96213572.01,5027747.76
1597449600,2020-08-15 00:00:00,LINK/USD,16.98,19.79,16.5,19.22,147346513.41,7939702.64
1597363200,2020-08-14 00:00:00,LINK/USD,17.21,17.62,16.35,16.98,109038289.38,6435570.59
1597276800,2020-08-13 00:00:00,LINK/USD,16.49,18.35,16.0,17.21,234026833.34,13666933.62
1597190400,2020-08-12 00:00:00,LINK/USD,12.97,16.88,12.58,16.49,144881573.89,9698724.06
1597104000,2020-08-11 00:00:00,LINK/USD,13.49,13.54,12.12,12.97,72456656.82,5649582.72
