unix,date,symbol,open,high,low,close,Volume XLM,Volume USD
1599609600,2020-09-09 00:00:00,XLM/USD,0.07738,0.07768,0.07551,0.07683,557426.62,7291498
1599523200,2020-09-08 00:00:00,XLM/USD,0.07862,0.07954,0.07504,0.07738,3369760.07,43615312
1599436800,2020-09-07 00:00:00,XLM/USD,0.07739,0.07914,0.07392,0.07862,3256690.7,42369008
1599350400,2020-09-06 00:00:00,XLM/USD,0.07557,0.07896,0.07259,0.07739,4430932.37,58192356
1599264000,2020-09-05 00:00:00,XLM/USD,0.08076,0.08299,0.07264,0.07557,5778349.35,74939464
1599177600,2020-09-04 00:00:00,XLM/USD,0.0853,0.0853,0.0754,0.08076,6910974.79,87183389
1599091200,2020-09-03 00:00:00,XLM/USD,0.0924,0.09301,0.08248,0.0853,6726134.81,77402914
1599004800,2020-09-02 00:00:00,XLM/USD,0.09883,0.0998,0.09,0.0924,6785209.59,72616014
1598918400,2020-09-01 00:00:00,XLM/USD,0.09674,0.1013,0.09559,0.09883,4921926.88,49744951
1598832000,2020-08-31 00:00:00,XLM/USD,0.0982,0.09888,0.0951,0.09674,3554154.41,36611911
1598745600,2020-08-30 00:00:00,XLM/USD,0.09626,0.09839,0.09616,0.0982,2862396.49,29373496
1598659200,2020-08-29 00:00:00,XLM/USD,0.0957,0.09759,0.09445,0.09626,2535076.92,26412668
1598572800,2020-08-28 00:00:00,XLM/USD,0.0938,0.09674,0.09254,0.0957,3338172.26,35121946
1598486400,2020-08-27 00:00:00,XLM/USD,0.09805,0.09891,0.09031,0.0938,6031250.57,63825819
1598400000,2020-08-26 00:00:00,XLM/USD,0.09727,0.1004,0.09602,0.09805,3807317.28,38782463
1598313600,2020-08-25 00:00:00,XLM/USD,0.103,0.1032,0.09508,0.09727,5842636.82,59036945
1598227200,2020-08-24 00:00:00,XLM/USD,0.1029,0.1065,0.101,0.103,4912117.17,47254636
1598140800,2020-08-23 00:00:00,XLM/USD,0.1023,0.1032,0.0985,0.1029,4408500.0,43633894
