unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1599609600,2020-09-09 00:00:00,XRP/USD,0.2367,0.2377,0.233,0.2368,1807299.53,7680581.63
1599523200,2020-09-08 00:00:00,XRP/USD,0.2422,0.2437,0.2312,0.2367,13587535.93,57461389.67
1599436800,2020-09-07 00:00:00,XRP/USD,0.24,0.2431,0.23,0.2422,12397376.55,52223772.38
1599350400,2020-09-06 00:00:00,XRP/USD,0.2376,0.2436,0.23,0.24,16017077.05,67251220.08
1599264000,2020-09-05 00:00:00,XRP/USD,0.2549,0.2586,0.2311,0.2376,27389190.22,113535306.58
1599177600,2020-09-04 00:00:00,XRP/USD,0.2453,0.266,0.2403,0.2549,28666780.64,114073517.57
1599091200,2020-09-03 00:00:00,XRP/USD,0.2762,0.2768,0.2389,0.2453,33142150.89,127408796.37
1599004800,2020-09-02 00:00:00,XRP/USD,0.2954,0.3039,0.2635,0.2762,31096055.08,109375711.98
1598918400,2020-09-01 00:00:00,XRP/USD,0.2814,0.2989,0.2761,0.2954,23660437.71,81382798.79
1598832000,2020-08-31 00:00:00,XRP/USD,0.2832,0.2846,0.2784,0.2814,25556997.97,90780319.12
1598745600,2020-08-30 00:00:00,XRP/USD,0.2741,0.284,0.2739,0.2832,21589170.96,77202433.35
1598659200,2020-08-29 00:00:00,XRP/USD,0.272,0.277,0.2691,0.2741,11281162.18,41293254.98
1598572800,2020-08-28 00:00:00,XRP/USD,0.2648,0.2735,0.2602,0.272,16150418.87,60093052.98
1598486400,2020-08-27 00:00:00,XRP/USD,0.2765,0.2786,0.2549,0.2648,22033864.67,82840866.36
1598400000,2020-08-26 00:00:00,XRP/USD,0.2766,0.281,0.2741,0.2765,17468034.36,62923151.89
1598313600,2020-08-25 00:00:00,XRP/USD,0.2887,0.2895,0.2702,0.2766,20928964.78,75107235.65
1598227200,2020-08-24 00:00:00,XRP/USD,0.285,0.2922,0.2823,0.2887,13849389.24,48153622.32
1598140800,2020-08-23 00:00:00,XRP/USD,0.2862,0.2883,0.2773,0.285,13909873.32,49040637.78
1598054400,2020-08-22 00:00:00,XRP/USD,0.2794,0.2869,0.2731,0.2862,18251089.81,65298286.94
1597968000,2020-08-21 00:00:00,XRP/USD,0.2921,0.2962,0.277,0.2794,31536743.65,109757011.09
1597881600,2020-08-20 00:00:00,XRP/USD,0.29,0.2949,0.2842,0.2921,22947913.38,78880776.75
1597795200,2020-08-19 00:00:00,XRP/USD,0.3027,0.3063,0.279,0.29,33451618.42,114691638.81
1597708800,2020-08-18 00:00:00,XRP/USD,0.3159,0.3219,0.2974,0.3027,38771148.17,125287738.69
1597622400,2020-08-17 00:00:00,XRP/USD,0.3046,0.3283,0.2972,0.3159,59670004.09,189442329.01
1597536000,2020-08-16 00:00:00,XRP/USD,0.2991,0.305,0.2921,0.3046,28079032.67,93875999.19
1597449600,2020-08-15 00:00:00,XRP/USD,0.3004,0.3057,0.2916,0.2991,27601824.45,92031695.59
1597363200,2020-08-14 00:00:00,XRP/USD,0.2949,0.3077,0.2899,0.3004,38979187.79,130409771.17
1597276800,2020-08-13 00:00:00,XRP/USD,0.2823,0.2961,0.2719,0.2949,36555848.01,128987779.91
1597190400,2020-08-12 00:00:00,XRP/USD,0.2831,0.2874,0.2716,0.2823,26237099.82,93135375.96
1597104000,2020-08-11 00:00:00,XRP/USD,0.2949,0.308,0.2672,0.2831,37168532.77,127821903.14
1597017600,2020-08-10 00:00:00,XRP/USD,0.288,0.3006,0.2848,0.2949,24133026.68,81959599.41
1596931200,2020-08-09 00:00:00,XRP/USD,0.2954,0.299,0.2825,0.288,23160902.33,79943732.8
1596844800,2020-08-08 00:00:00,XRP/USD,0.2949,0.2991,0.2902,0.2954,18913636.88,64297951.25
1596758400,2020-08-07 00:00:00,XRP/USD,0.3034,0.3103,0.278,0.2949,31467689.53,106305101.33
1596672000,2020-08-06 00:00:00,XRP/USD,0.3028,0.3115,0.2976,0.3034,22242063.68,73100502.59
1596585600,2020-08-05 00:00:00,XRP/USD,0.3017,0.3084,0.2902,0.3028,27766417.17,92297579.05
1596499200,2020-08-04 00:00:00,XRP/USD,0.3104,0.3194,0.2911,0.3017,38133077.09,125037414.65
1596412800,2020-08-03 00:00:00,XRP/USD,0.2881,0.32,0.2839,0.3104,55894606.3,181393360.25
1596326400,2020-08-02 00:00:00,XRP/USD,0.2913,0.328,0.2439,0.2881,83784092.92,285714698.03
1596240000,2020-08-01 00:00:00,XRP/USD,0.26,0.2985,0.2561,0.2913,57260757.73,205082892.99
1596153600,2020-07-31 00:00:00,XRP/USD,0.2444,0.2613,0.2421,0.26,20812478.56,82845775.7
1596067200,2020-07-30 00:00:00,XRP/USD,0.2437,0.25,0.2343,0.2444,18297293.31,75256701.18
1595980800,2020-07-29 00:00:00,XRP/USD,0.2309,0.251,0.2296,0.2437,30576620.39,126728023.75
1595894400,2020-07-28 00:00:00,XRP/USD,0.2248,0.235,0.217,0.2309,22950834.8,101289174.41
1595808000,2020-07-27 00:00:00,XRP/USD,0.2155,0.2299,0.2091,0.2248,24814796.46,112249089.78
1595721600,2020-07-26 00:00:00,XRP/USD,0.215,0.2253,0.213,0.2155,15591327.02,71346118.93
1595635200,2020-07-25 00:00:00,XRP/USD,0.2043,0.218,0.2039,0.215,13652178.53,64422117.13
1595548800,2020-07-24 00:00:00,XRP/USD,0.2088,0.2089,0.2021,0.2043,7511852.18,36576967.07
1595462400,2020-07-23 00:00:00,XRP/USD,0.204,0.2106,0.2019,0.2088,14428904.93,69917447.46
1595376000,2020-07-22 00:00:00,XRP/USD,0.1997,0.205,0.1961,0.204,7902087.77,39418886.9
1595289600,2020-07-21 00:00:00,XRP/USD,0.1948,0.201,0.194,0.1997,8130071.28,40988211.15
1595203200,2020-07-20 00:00:00,XRP/USD,0.1998,0.2003,0.1918,0.1948,7021629.12,35682274.59
1595116800,2020-07-19 00:00:00,XRP/USD,0.2,0.202,0.1959,0.1998,5717954.37,28812204.61
1595030400,2020-07-18 00:00:00,XRP/USD,0.1946,0.2025,0.1938,0.2,8852353.91,44649745.83
1594944000,2020-07-17 00:00:00,XRP/USD,0.1943,0.1981,0.1911,0.1946,7063259.09,36357002.55
1594857600,2020-07-16 00:00:00,XRP/USD,0.1971,0.1974,0.1882,0.1943,9214352.05,47774375.41
1594771200,2020-07-15 00:00:00,XRP/USD,0.1991,0.1998,0.1963,0.1971,6843440.96,34575851.33
1594684800,2020-07-14 00:00:00,XRP/USD,0.1986,0.1998,0.195,0.1991,7012078.54,35374929.5
1594598400,2020-07-13 00:00:00,XRP/USD,0.2012,0.2066,0.1923,0.1986,12215245.76,60881958.81
1594512000,2020-07-12 00:00:00,XRP/USD,0.2012,0.204,0.1978,0.2012,7116482.25,35504607.07
1594425600,2020-07-11 00:00:00,XRP/USD,0.199,0.2055,0.1979,0.2012,7594535.88,37753069.69
1594339200,2020-07-10 00:00:00,XRP/USD,0.2026,0.2027,0.1924,0.199,8671278.91,43877987.72
1594252800,2020-07-09 00:00:00,XRP/USD,0.2058,0.2117,0.1966,0.2026,20211303.69,99591056.14
1594166400,2020-07-08 00:00:00,XRP/USD,0.1852,0.2069,0.1837,0.2058,21078756.4,106083876.1
